id,product_kr,product_en,hook_key,hook_kr,overlay_text_kr,scene_kr,persona_kr,style_kr,color_kr,aspect_ratio,size,ig_format,image_prompt,negative_prompt,status,image_path
yg_0011,미니,Mini,aspiration,동경·라이프스타일,퇴근하고 싶어지는 집의 비밀,한강 피크닉 잔디,아이와 부모 가족,탑다운 플랫레이,머스타드 옐로,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (1인용 소형 빈백, 가볍고 어디든 옮기는 컴팩트 사이즈), 머스타드 옐로 fabric color, a parent and a child playing, Hangang river park lawn picnic, outdoor daytime, top-down flat lay composition, neatly arranged, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0012,펫,Pet,problem_agitate,문제 자극,"비싼 소파, 커버는 왜 못 빨까?",펜션·풀빌라 거실,반려견과 집사,초근접 텍스처 클로즈업,딥 네이비,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (방수·항균·발톱 저항 커버의 반려동물용 빈백), 딥 네이비 fabric color, a person with a small dog cuddling, vacation pension living room, premium resort vibe, extreme macro close-up of plush fabric texture, shallow depth of field, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0013,서포트,Support,fomo_scarcity,FOMO·희소성,다들 이미 거실에 하나씩 들였대요,아늑한 원룸,아이와 부모 가족,로우앵글 임팩트,테라코타,1:1,1080x1080,피드 정방,"A premium oversized bean bag sofa (U자형 받침 쿠션, 빈백과 결합해 리클라이너로 변신), 테라코타 fabric color, a parent and a child playing, cozy compact studio apartment, minimal Korean interior, dramatic low angle, product looks grand and inviting, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0014,온돌,Ondol,transformation,변신·다용도,접고 펴고 세우고 — 공간이 살아난다,펜션·풀빌라 거실,낮잠 자는 사람,탑다운 플랫레이,크림 베이지,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (겨울 발열 커버형 빈백, 전기요 호환), 크림 베이지 fabric color, a person napping, eyes closed, blissful, vacation pension living room, premium resort vibe, top-down flat lay composition, neatly arranged, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0015,펫,Pet,aspiration,동경·라이프스타일,퇴근하고 싶어지는 집의 비밀,서재 책장 앞,제품 단독(인물 없음),로우앵글 임팩트,오트밀 화이트,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (방수·항균·발톱 저항 커버의 반려동물용 빈백), 오트밀 화이트 fabric color, home library nook in front of bookshelves, dramatic low angle, product looks grand and inviting, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0016,허기보,Hugibo,problem_agitate,문제 자극,소파에서 자고 일어나면 허리 아픈 당신에게,무드등 켜진 밤 침실,시니어 부모님,다크 무드 라이팅,딥 네이비,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (끌어안는 바디필로우형 빈백, 수면·포옹감 강조), 딥 네이비 fabric color, an elderly parent resting comfortably, dim bedroom at night with warm mood lighting, dark moody lighting with a single warm light source, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0017,미디,Midi,season_hook,시즌·타이밍,"이사 시즌, 소파 대신 이것",무드등 켜진 밤 침실,친구들 홈파티,미니멀 제품 히어로,차콜 그레이,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (맥스의 컴팩트 버전, 청소년·소형 공간용 중형 빈백), 차콜 그레이 fabric color, a few friends hanging out, casual home party, dim bedroom at night with warm mood lighting, minimal product hero shot, soft gradient backdrop, studio light, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0018,서포트,Support,humor_relatable,유머·공감,‘잠깐만 누울게’ → 3시간 경과,키즈룸,시니어 부모님,스플릿 비교 컷,딥 네이비,1:1,1080x1080,피드 정방,"A premium oversized bean bag sofa (U자형 받침 쿠션, 빈백과 결합해 리클라이너로 변신), 딥 네이비 fabric color, an elderly parent resting comfortably, bright kids room with toys, playful pastel palette, split-screen before/after comparison layout, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0019,슬림,Slim,season_hook,시즌·타이밍,환절기 허리에게 주는 선물,재택 홈오피스,게이머 청년,파스텔 팝 컬러블록,차콜 그레이,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (좁은 폭의 빈백, 1인 라운지 체어 형태), 차콜 그레이 fabric color, a young gamer with a controller, work-from-home office corner, laptop on a low table, pastel pop color-block background, playful graphic style, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0020,미니 K,Mini K,before_after,비포·애프터,소파 있을 때 vs 요기보 들인 후,키즈룸,20대 1인 가구 여성,한 손 스케일 비교,라벤더,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (원룸·15평 이하 전용 초소형 빈백), 라벤더 fabric color, a young woman in her 20s living alone, relaxed, bright kids room with toys, playful pastel palette, hand or person for scale, emphasizing size and softness, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0021,키즈,Kids,asmr_sensory,감각·ASMR,"오늘 밤, 여기로 사라지고 싶다",겨울 러그 깔린 마루,친구들 홈파티,스플릿 비교 컷,오트밀 화이트,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (유아·아동 안전 인증 소형 빈백, 밝은 컬러), 오트밀 화이트 fabric color, a few friends hanging out, casual home party, winter living room with rug, cozy ondol floor warmth, split-screen before/after comparison layout, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0022,미디,Midi,social_proof,사회적 증거,한 번 산 사람은 색깔만 늘린다,미니멀 화이트 스튜디오,다정한 커플,오버헤드 부감,딥 네이비,1:1,1080x1080,피드 정방,"A premium oversized bean bag sofa (맥스의 컴팩트 버전, 청소년·소형 공간용 중형 빈백), 딥 네이비 fabric color, a cozy couple lounging together, clean white photo studio, seamless backdrop, high overhead bird's-eye angle looking down, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0023,피라미드,Pyramid,pattern_interrupt,패턴 인터럽트,끝까지 안 보면 손해,햇살 드는 거실 창가,재택근무 직장인,골든아워 시네마틱,테라코타,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (삼각 쿠션형 빈백, 등·허리 받침용 보조 쿠션), 테라코타 fabric color, a remote worker taking a break, sunlit living room by a large window, soft daylight, golden hour cinematic lighting, warm glow, film look, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0024,팟엑스,Pod X,humor_relatable,유머·공감,강아지에게 자리 뺏긴 1인,아늑한 원룸,재택근무 직장인,한 손 스케일 비교,차콜 그레이,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (확장형 듀얼 라이너 빈백, 몸 굴곡에 반응하는 분절 패널), 차콜 그레이 fabric color, a remote worker taking a break, cozy compact studio apartment, minimal Korean interior, hand or person for scale, emphasizing size and softness, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0025,미디,Midi,before_after,비포·애프터,퇴근 전 vs 퇴근 후 내 모습,펜션·풀빌라 거실,낮잠 자는 사람,오버헤드 부감,올리브 그린,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (맥스의 컴팩트 버전, 청소년·소형 공간용 중형 빈백), 올리브 그린 fabric color, a person napping, eyes closed, blissful, vacation pension living room, premium resort vibe, high overhead bird's-eye angle looking down, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0026,미니 K,Mini K,problem_agitate,문제 자극,"비싼 소파, 커버는 왜 못 빨까?",재택 홈오피스,제품 단독(인물 없음),한 손 스케일 비교,올리브 그린,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (원룸·15평 이하 전용 초소형 빈백), 올리브 그린 fabric color, work-from-home office corner, laptop on a low table, hand or person for scale, emphasizing size and softness, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0027,허기보,Hugibo,pattern_interrupt,패턴 인터럽트,이 자세 실화냐,재택 홈오피스,낮잠 자는 사람,라이프스타일 와이드,테라코타,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (끌어안는 바디필로우형 빈백, 수면·포옹감 강조), 테라코타 fabric color, a person napping, eyes closed, blissful, work-from-home office corner, laptop on a low table, wide lifestyle editorial shot, natural light, lived-in feel, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0028,피라미드,Pyramid,curiosity_gap,호기심 갭,이게 소파라고? 끝까지 보면 놀람,감성 카페 라운지,시니어 부모님,푹 꺼지는 모션 블러,테라코타,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (삼각 쿠션형 빈백, 등·허리 받침용 보조 쿠션), 테라코타 fabric color, an elderly parent resting comfortably, trendy cafe lounge interior, warm wood tones, motion-blur of a body sinking into the bean bag, dynamic, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0029,프라임,Prime,price_value,가치·합리화,"소파 + 침대 + 의자, 가격은 하나",펜션·풀빌라 거실,20대 1인 가구 여성,푹 꺼지는 모션 블러,딥 네이비,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (슬림한 등받이형 빈백, 의자처럼 세워 앉기 좋은 형태), 딥 네이비 fabric color, a young woman in her 20s living alone, relaxed, vacation pension living room, premium resort vibe, motion-blur of a body sinking into the bean bag, dynamic, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0030,프라임,Prime,aspiration,동경·라이프스타일,퇴근하고 싶어지는 집의 비밀,게이밍 셋업 방,게이머 청년,파스텔 팝 컬러블록,테라코타,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (슬림한 등받이형 빈백, 의자처럼 세워 앉기 좋은 형태), 테라코타 fabric color, a young gamer with a controller, gaming room with RGB lights and a desk setup, pastel pop color-block background, playful graphic style, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0031,미디,Midi,price_value,가치·합리화,"10년 쓰는 소파, 커버만 갈면 새것",감성 카페 라운지,반려묘와 함께,다크 무드 라이팅,코발트 블루,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (맥스의 컴팩트 버전, 청소년·소형 공간용 중형 빈백), 코발트 블루 fabric color, a person with a cat curled up nearby, trendy cafe lounge interior, warm wood tones, dark moody lighting with a single warm light source, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0032,팟,Pod,asmr_sensory,감각·ASMR,무중력으로 가라앉는 30초,아늑한 원룸,친구들 홈파티,미니멀 제품 히어로,머스타드 옐로,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (둥근 1인 의자형 빈백, 감싸는 듯한 곡선 실루엣), 머스타드 옐로 fabric color, a few friends hanging out, casual home party, cozy compact studio apartment, minimal Korean interior, minimal product hero shot, soft gradient backdrop, studio light, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0033,플로어,Floor,price_value,가치·합리화,"소파 + 침대 + 의자, 가격은 하나",햇살 드는 거실 창가,친구들 홈파티,파스텔 팝 컬러블록,딥 네이비,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (좌식 문화 맞춤 초저높이 빈백), 딥 네이비 fabric color, a few friends hanging out, casual home party, sunlit living room by a large window, soft daylight, pastel pop color-block background, playful graphic style, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0034,피라미드,Pyramid,asmr_sensory,감각·ASMR,"오늘 밤, 여기로 사라지고 싶다",게이밍 셋업 방,아이와 부모 가족,푹 꺼지는 모션 블러,코발트 블루,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (삼각 쿠션형 빈백, 등·허리 받침용 보조 쿠션), 코발트 블루 fabric color, a parent and a child playing, gaming room with RGB lights and a desk setup, motion-blur of a body sinking into the bean bag, dynamic, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0035,미니 K,Mini K,before_after,비포·애프터,딱딱한 거실 → 3초 만에 라운지로,서재 책장 앞,낮잠 자는 사람,푹 꺼지는 모션 블러,코발트 블루,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (원룸·15평 이하 전용 초소형 빈백), 코발트 블루 fabric color, a person napping, eyes closed, blissful, home library nook in front of bookshelves, motion-blur of a body sinking into the bean bag, dynamic, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0036,슬림,Slim,curiosity_gap,호기심 갭,"이 소파, 3초만 앉으면 못 일어나는 이유",펜션·풀빌라 거실,시니어 부모님,초근접 텍스처 클로즈업,테라코타,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (좁은 폭의 빈백, 1인 라운지 체어 형태), 테라코타 fabric color, an elderly parent resting comfortably, vacation pension living room, premium resort vibe, extreme macro close-up of plush fabric texture, shallow depth of field, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0037,미니 K,Mini K,pattern_interrupt,패턴 인터럽트,"잠깐, 저 사람 지금 소파 안으로 빨려 들어감",키즈룸,아이와 부모 가족,미니멀 제품 히어로,크림 베이지,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (원룸·15평 이하 전용 초소형 빈백), 크림 베이지 fabric color, a parent and a child playing, bright kids room with toys, playful pastel palette, minimal product hero shot, soft gradient backdrop, studio light, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0038,맥스,Max,transformation,변신·다용도,"1개로 5가지 자세, 직접 보세요",서재 책장 앞,낮잠 자는 사람,스플릿 비교 컷,라벤더,1:1,1080x1080,피드 정방,"A premium oversized bean bag sofa (6피트 풀사이즈 빈백 소파, 1인이 완전히 누울 수 있는 길이), 라벤더 fabric color, a person napping, eyes closed, blissful, home library nook in front of bookshelves, split-screen before/after comparison layout, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0039,온돌,Ondol,before_after,비포·애프터,딱딱한 거실 → 3초 만에 라운지로,게이밍 셋업 방,게이머 청년,푹 꺼지는 모션 블러,오트밀 화이트,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (겨울 발열 커버형 빈백, 전기요 호환), 오트밀 화이트 fabric color, a young gamer with a controller, gaming room with RGB lights and a desk setup, motion-blur of a body sinking into the bean bag, dynamic, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0040,더블,Double,price_value,가치·합리화,한 번 사면 왜 안 바꾸는지 알게 됨,발코니·테라스,20대 1인 가구 여성,초근접 텍스처 클로즈업,코발트 블루,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (맥스 2배 폭의 초대형 빈백, 커플·가족용 침대 겸용), 코발트 블루 fabric color, a young woman in her 20s living alone, relaxed, apartment balcony with plants and city view, extreme macro close-up of plush fabric texture, shallow depth of field, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
